c_id,date,price
287,2024-12-30,2600
288,2024-12-30,3100
289,2024-12-30,250
290,2024-12-30,500
291,2024-12-30,2000
311,2024-12-30,2600
312,2024-12-30,1500
308,2024-12-30,9800
309,2024-12-30,13200
310,2024-12-30,6800
300,2024-12-30,1100
301,2024-12-30,1400
302,2024-12-30,2000
303,2024-12-30,1950
304,2024-12-30,2600
305,2024-12-30,950
306,2024-12-30,1450
292,2024-12-30,1800
295,2024-12-30,13000
294,2024-12-30,3600
293,2024-12-30,2400
298,2024-12-30,600
299,2024-12-30,1050
296,2024-12-30,2000
297,2024-12-30,3100
317,2024-12-30,1900
318,2024-12-30,2600
319,2024-12-30,3000
320,2024-12-30,3500
321,2024-12-30,3400
323,2024-12-30,2700
322,2024-12-30,3800
326,2024-12-30,1400
324,2024-12-30,3500
327,2024-12-30,2200
325,2024-12-30,6000
328,2024-12-30,1000
329,2024-12-30,1600
330,2024-12-30,70000
331,2024-12-30,100000
332,2024-12-30,95000
333,2024-12-30,170000
334,2024-12-30,160000
335,2024-12-30,15000
336,2024-12-30,20500
337,2024-12-30,1200
338,2024-12-30,2800
339,2024-12-30,3000
340,2024-12-30,650
342,2024-12-30,600
343,2024-12-30,900
344,2024-12-30,1200
345,2024-12-30,150
346,2024-12-30,300
348,2024-12-30,400
349,2024-12-30,500
350,2024-12-30,750
351,2024-12-30,850
352,2024-12-30,1700
353,2024-12-30,1400
354,2024-12-30,2200
358,2024-12-30,7500
359,2024-12-30,850
360,2024-12-30,1400
361,2024-12-30,2200
287,2025-01-06,2600
288,2025-01-06,3100
289,2025-01-06,250
290,2025-01-06,500
291,2025-01-06,2000
311,2025-01-06,2600
312,2025-01-06,1500
308,2025-01-06,9800
309,2025-01-06,13200
310,2025-01-06,6800
300,2025-01-06,1100
301,2025-01-06,1400
302,2025-01-06,2000
303,2025-01-06,1950
304,2025-01-06,2600
305,2025-01-06,950
306,2025-01-06,1450
292,2025-01-06,1800
295,2025-01-06,13000
294,2025-01-06,3600
293,2025-01-06,2400
298,2025-01-06,600
299,2025-01-06,1050
296,2025-01-06,2000
297,2025-01-06,3100
317,2025-01-06,1900
318,2025-01-06,2600
319,2025-01-06,3000
320,2025-01-06,3500
321,2025-01-06,3400
323,2025-01-06,2700
322,2025-01-06,3800
326,2025-01-06,1400
324,2025-01-06,3500
327,2025-01-06,2200
325,2025-01-06,6000
328,2025-01-06,1000
329,2025-01-06,1600
330,2025-01-06,70000
331,2025-01-06,100000
332,2025-01-06,95000
333,2025-01-06,170000
334,2025-01-06,160000
335,2025-01-06,15000
336,2025-01-06,20500
337,2025-01-06,1200
338,2025-01-06,2800
339,2025-01-06,3000
340,2025-01-06,650
342,2025-01-06,600
343,2025-01-06,900
344,2025-01-06,1200
345,2025-01-06,150
346,2025-01-06,300
348,2025-01-06,400
349,2025-01-06,500
350,2025-01-06,750
351,2025-01-06,850
352,2025-01-06,1700
353,2025-01-06,1400
354,2025-01-06,2200
358,2025-01-06,7500
359,2025-01-06,850
360,2025-01-06,1400
361,2025-01-06,2200
287,2025-01-13,2600
288,2025-01-13,3100
289,2025-01-13,250
290,2025-01-13,500
291,2025-01-13,2000
311,2025-01-13,2600
312,2025-01-13,1500
308,2025-01-13,9800
309,2025-01-13,13200
310,2025-01-13,6800
300,2025-01-13,1100
301,2025-01-13,1400
302,2025-01-13,2000
303,2025-01-13,1950
304,2025-01-13,2600
305,2025-01-13,950
306,2025-01-13,1450
292,2025-01-13,1800
295,2025-01-13,13000
294,2025-01-13,3600
293,2025-01-13,2400
298,2025-01-13,600
299,2025-01-13,1050
296,2025-01-13,2000
297,2025-01-13,3100
317,2025-01-13,1900
318,2025-01-13,2600
319,2025-01-13,3000
320,2025-01-13,3500
321,2025-01-13,3400
323,2025-01-13,2700
322,2025-01-13,3800
326,2025-01-13,1400
324,2025-01-13,3500
327,2025-01-13,2200
325,2025-01-13,6000
328,2025-01-13,1000
329,2025-01-13,1600
330,2025-01-13,70000
331,2025-01-13,100000
332,2025-01-13,95000
333,2025-01-13,170000
334,2025-01-13,160000
335,2025-01-13,15000
336,2025-01-13,20500
337,2025-01-13,1200
338,2025-01-13,2800
339,2025-01-13,3000
340,2025-01-13,650
342,2025-01-13,600
343,2025-01-13,900
344,2025-01-13,1200
345,2025-01-13,150
346,2025-01-13,300
348,2025-01-13,400
349,2025-01-13,500
350,2025-01-13,750
351,2025-01-13,850
352,2025-01-13,1700
353,2025-01-13,1400
354,2025-01-13,2200
358,2025-01-13,7500
359,2025-01-13,850
360,2025-01-13,1400
361,2025-01-13,2200
287,2025-01-20,2600
288,2025-01-20,3100
289,2025-01-20,250
290,2025-01-20,500
291,2025-01-20,2000
311,2025-01-20,2600
312,2025-01-20,1500
308,2025-01-20,9600
309,2025-01-20,13000
310,2025-01-20,6600
300,2025-01-20,1100
301,2025-01-20,1400
302,2025-01-20,2000
303,2025-01-20,1950
304,2025-01-20,2600
305,2025-01-20,950
306,2025-01-20,1450
292,2025-01-20,1800
295,2025-01-20,13000
294,2025-01-20,3600
293,2025-01-20,2400
298,2025-01-20,600
299,2025-01-20,1050
296,2025-01-20,2000
297,2025-01-20,3100
317,2025-01-20,1900
318,2025-01-20,2600
319,2025-01-20,3000
320,2025-01-20,3500
321,2025-01-20,3400
323,2025-01-20,2700
322,2025-01-20,3800
326,2025-01-20,1400
324,2025-01-20,3500
327,2025-01-20,2200
325,2025-01-20,6000
328,2025-01-20,1000
329,2025-01-20,1600
330,2025-01-20,70000
331,2025-01-20,100000
332,2025-01-20,95000
333,2025-01-20,170000
334,2025-01-20,160000
335,2025-01-20,15000
336,2025-01-20,20500
337,2025-01-20,1200
338,2025-01-20,2800
339,2025-01-20,3000
340,2025-01-20,650
342,2025-01-20,600
