category,product_name,membership_name,location
golf,88,일반,경기 용인
golf,가야,일반,경남 김해
golf,가야,우대,경남 김해
golf,가평베네스트,일반,경기 가평
golf,강남300,일반,경기 광주
golf,강남300,주중가족,경기 광주
golf,강남300,주중개인,경기 광주
golf,강남300,호텔7000,경기 광주
golf,경주신라,주주,경북 경주
golf,고성노벨,일반,경남 고성
golf,골드,일반,경기 용인
golf,골드,주주,경기 용인
golf,골드레이크,일반,전남 나주
golf,골드레이크,주중,전남 나주
golf,골든베이,일반,충남 태안
golf,광릉,9000,경기 남양주
golf,광릉,주중가족,경기 남양주
golf,광주,일반,전남 곡성
golf,그랜드,일반,충북 청주
golf,그랜드,주주,충북 청주
golf,그레이스,주중4000,경북 청도
golf,그레이스,20000,경북 청도
golf,그린힐,일반,경기 광주
golf,그린힐,주중가족,경기 광주
golf,그린힐,주중개인,경기 광주
golf,금강,일반,경기 여주
golf,금강,주중,경기 여주
golf,기흥,일반,경기 화성
golf,김포시사이드,일반,경기 김포
golf,김포시사이드,여자,경기 김포
golf,남부,일반,경기 용인
golf,남서울,일반,경기 성남
golf,남서울,여자,경기 성남
golf,남촌,일반,경기 광주
golf,노벨,일반,경남 고성
golf,뉴서울,일반,경기 광주
golf,뉴스프링빌,주중가족,경기 이천
golf,뉴스프링빌,주중개인,경기 이천
golf,뉴스프링빌,12000,경기 이천
golf,뉴코리아,일반,경기 고양
golf,뉴코리아,여자,경기 고양
golf,담양다이너스티,일반,전남 담양
golf,대구,일반,경북 경산
golf,더클래식,28000,제주 서귀포
golf,도고,일반,충남 아산
golf,동래베네스트,일반,부산 금정
golf,동래베네스트,여자,부산 금정
golf,동부산,일반,경남 양산
golf,드비치,일반,경남 거제
golf,떼제베이스트,9000,경북 안동
golf,라데나,일반,강원 춘천
golf,라온,일반,제주 제주
golf,라헨느,일반,제주 제주
golf,레이크사이드,일반,경기 용인
golf,레이크우드,일반,경기 양주
golf,레이크우드,분담금,경기 양주
golf,레이크힐스,주중,경기 용인
golf,레이크힐스,13800,경기 용인
golf,렉스필드,63000,경기 여주
golf,로얄포레,30000,충북 충주
golf,리베라,일반,경기 화성
golf,마론뉴데이,13500,충남 천안
golf,마우나오션,일반,경북 경주
golf,마우나오션,우대,경북 경주
golf,몽베르,7000,경기 포천
golf,무주덕유산,일반,전북 무주
golf,발리오스,일반,경기 화성
golf,발리오스,VIP,경기 화성
golf,버드우드,주중가족,충남 천안
golf,버드우드,주중개인,충남 천안
golf,버치힐,주중,강원 평창
golf,버치힐,18000,강원 평창
golf,베어리버,일반,전북 익산
golf,베이사이드,로얄,부산 기장
golf,베이사이드,프리미어,부산 기장
golf,보라,29000,울산 울주
golf,부곡,일반,경남 창녕
golf,부산,일반,부산 금정
golf,부산,여자,부산 금정
golf,블랙스톤,15000,제주 제주
golf,블랙스톤 이천,일반,경기 이천
golf,블루원보문,일반,경북 경주
golf,블루원용인,일반,경기 용인
golf,블루헤런,일반,경기 여주
golf,비발디파크,16000,강원 홍천
golf,비에이비스타,주중5500,경기 이천
golf,비에이비스타,10000,경기 이천
golf,비전힐스,42500,경기 남양주
golf,사이프러스,일반,제주 서귀포
golf,상떼힐,일반,충북 충주
golf,상떼힐 익산,일반,전북 익산
golf,상떼힐 익산,가족,전북 익산
golf,샌드파인,12000,강원 강릉
golf,서서울,일반,경기 파주
golf,서서울,주중,경기 파주
golf,서울,일반,경기 고양
golf,서울,여자,경기 고양
golf,서원밸리,18000,경기 파주
golf,서원밸리,25000,경기 파주
golf,선산,일반,경북 구미
golf,설해원,18000,강원 양양
golf,세라지오,18000,경기 여주
golf,세븐밸리,메스티지,경북 칠곡
golf,세븐밸리,세븐,경북 칠곡
golf,세인트웨스튼,골드,경북 군위
golf,세인트웨스튼,프리미엄,경북 군위
golf,세인트포,26000,제주 제주
golf,세종에머슨,10000,세종 전의
golf,세종에머슨,주중,세종 전의
golf,센추리21,일반,강원 원주
golf,솔모로,일반,경기 여주
golf,솔모로,플러스,경기 여주
golf,송추,일반,경기 양주
golf,수원입회,일반,경기 용인
golf,수원주식,일반,경기 용인
golf,스카이밸리,2500,경기 여주
golf,스카이밸리,3500,경기 여주
golf,스카이밸리,4650,경기 여주
golf,스카이뷰,일반,경남 함양
golf,스카이힐 김해,일반,경남 김해
golf,스카이힐 제주,일반,제주 서귀포
golf,스프링데일,일반,제주 서귀포
golf,시그너스,주중가족,충북 충주
golf,시그너스,주중개인,충북 충주
golf,시그너스,9000,충북 충주
golf,신안,일반,경기 안성
golf,신안,주중가족,경기 안성
golf,신안,주중가족골드,경기 안성
golf,신안,주중개인,경기 안성
golf,신원,일반,경기 용인
golf,실크리버,8700,충북 청주
golf,썬힐,가족,경기 가평
golf,썬힐,개인,경기 가평
golf,아난티중앙,가족,충북 진천
golf,아난티중앙,개인,충북 진천
golf,아난티클럽서울,무기명,경기 가평
golf,아난티클럽서울,분담금3000,경기 가평
golf,아난티클럽서울,주중,경기 가평
golf,아시아나,일반,경기 용인
golf,아시아나,주중가족,경기 용인
golf,아시아나,주중개인,경기 용인
golf,아시아드,일반,부산 기장
golf,아일랜드,일반,경기 안산
golf,아트밸리,주중가족,충북 진천
golf,아트밸리,주중개인,충북 진천
golf,아트밸리,12000,충북 진천
golf,아트밸리,20000,충북 진천
golf,안성,일반,경기 안성
golf,안성,여자,경기 안성
golf,안성베네스트,나다,경기 안성
golf,안성베네스트,주중,경기 안성
golf,안성베네스트,13000,경기 안성
golf,안성베네스트,15000,경기 안성
golf,양산,일반,경남 양산
golf,양주,일반,경기 남양주
golf,양평TPC,1억무기,경기 양평
golf,에덴밸리,일반,경남 양산
golf,에덴밸리,골드,경남 양산
golf,에딘버러,일반,충남 금산
golf,에딘버러,주중가족,충남 금산
golf,에딘버러,주중개인,충남 금산
golf,에버리스,골드4600,제주 제주
golf,에버리스,로얄23300,제주 제주
golf,에이원,일반,경남 양산
golf,에이원,VVIP,경남 양산
golf,에이치원클럽,일반,경기 이천
golf,엘리시안 강촌,우대,강원 춘천
golf,엘리시안 강촌,8000,강원 춘천
golf,엘리시안 제주,일반,제주 북제주
golf,엠스클럽,프리스티지,경북 의성
golf,여주,입회,경기 여주
golf,여주,주식,경기 여주
golf,오라,일반,제주 제주
golf,오크밸리,주중가족,강원 원주
golf,오크밸리,주중개인,강원 원주
golf,오크밸리,15000,강원 원주
golf,오크힐스,주중가족,강원 원주
golf,오크힐스,12000,강원 원주
golf,오펠,14000,경북 영천
golf,용원,일반,경남 창원
golf,용평,가족1명,강원 평창
golf,용평,가족2명,강원 평창
golf,우리들리조트,일반,제주 서귀포
golf,우정힐스,일반,충남 천안
golf,울산,일반,울산 울주
golf,울산,여자,울산 울주
golf,웰리힐리,VIP50000,강원 횡성
golf,유성,일반,대전 유성
golf,은화삼,일반,경기 용인
golf,은화삼,주중3000,경기 용인
golf,은화삼,주중4000,경기 용인
golf,이븐데일,13000,충북 청원
golf,이스트밸리,일반,경기 광주
golf,이포,일반,경기 여주
golf,이포,주중2800,경기 여주
golf,인천국제,일반,인천 서
golf,인터불고 경산,일반,경북 경산
golf,일동레이크,일반,경기 포천
golf,임페리얼레이크,일반,충북 충주
golf,자유,일반,경기 여주
golf,잭니클라우스,일반,인천 연수
golf,전주샹그릴라,일반,전북 임실
golf,전주샹그릴라,주중,전북 임실
golf,정산,32000,경남 김해
golf,제이드펠리스,일반,강원 춘천
golf,제이앤제이,일반,전남 장흥
golf,제일,일반,경기 안산
golf,제주,일반,제주 제주
golf,제피로스,일반,제주 제주
golf,중부,일반,경기 광주
golf,중부,주중가족,경기 광주
golf,중부,주중개인,경기 광주
golf,지산,일반,경기 용인
golf,지산,노블,경기 용인
golf,지산,주중5500,경기 용인
golf,지산,하나로10000,경기 용인
golf,지산,하나로6000,경기 용인
golf,창원,일반,경남 창원
golf,창원,여자,경남 창원
golf,천룡,주중,충북 진천
golf,천룡,15000,충북 진천
golf,청평마이다스,주중12500,경기 가평
golf,청평마이다스,주중16500,경기 가평
golf,청평마이다스,14000,경기 가평
golf,캐슬렉스,가족분담금,경기 하남
golf,캐슬렉스,개인분담금,경기 하남
golf,캐슬렉스,일반,경기 하남
golf,캐슬렉스 제주,일반,제주 남제주
golf,캐슬렉스 제주,우대,제주 남제주
golf,캐슬파인,일반,경기 여주
golf,캐슬파인,주중,경기 여주
golf,코리아,일반,경기 용인
golf,코리아,주주,경기 용인
golf,코스카,14000,충북 음성
golf,크라운,일반,제주 제주
golf,크라운,주중,제주 제주
golf,크리스탈밸리,30000,경기 가평
golf,클럽모우,일반,강원 홍천
golf,타니,일반,경남 사천
golf,타미우스,일반,제주 제주
golf,탑블리스,일반,경북 안동
golf,태광,일반,경기 용인
golf,태광,여자,경기 용인
golf,태안비치,10000,충남 태안
golf,태인,일반,전북 정읍
golf,테디밸리,25000,제주 서귀포
golf,통도파인이스트,일반,경남 양산
golf,티클라우드,주중4000,경기 동두천
golf,티클라우드,20000,경기 동두천
golf,티클라우드,30000,경기 동두천
golf,파미힐스,일반,경북 칠곡
golf,파인리즈,주중,강원 고성
golf,파인리즈,30000,강원 고성
golf,파인밸리,가족,강원 삼척
golf,파인밸리,개인,강원 삼척
golf,파인비치,일반,전남 해남
golf,파인크리크,일반,경기 안성
golf,팔공,일반,대구 동
golf,포라이즌,일반,전남 순천
golf,포천아도니스,18000,경기 포천
golf,프리스틴밸리,일반,경기 가평
golf,프리스틴밸리,주중가족6500,경기 가평
golf,프리스틴밸리,주중개인4500,경기 가평
golf,플라자설악,일반,강원 속초
golf,플라자용인,일반,경기 용인
golf,플라자용인,복합주중4800,경기 용인
golf,플라자용인,주중3500,경기 용인
golf,핀크스,10000,제주 서귀포
golf,한성,일반,경기 용인
golf,한양,일반,경기 고양
golf,한양,여자,경기 고양
golf,한원,일반,경기 용인
golf,함평다이너스티,일반,전남 함평
golf,해비치제주,22000,제주 서귀포
golf,해슬리나인브릿지,일반,경기 여주
golf,해운대,16000,부산 기장
golf,해운대,48000,부산 기장
golf,해운대,9000,부산 기장
golf,화산,일반,경기 용인
golf,화순,일반,전남 화순
golf,화순엘리체,일반,전남 화순
golf,휘닉스파크,8500,강원 평창
